"candidate_id","family","suspected_layer","boot_phase_relevant","frida_allowed","registry_path","value_name","path_exists","value_exists","value_kind","value_preview","value_length","read_error"
"system.kernel.disable-exception-chain-validation","session-manager-kernel","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Kernel","DisableExceptionChainValidation","True","False",,,"0",
"system.kernel.disable-light-weight-suspend","session-manager-kernel","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Kernel","DisableLightWeightSuspend","True","False",,,"0",
"system.kernel.enable-per-cpu-clock-tick-scheduling","session-manager-kernel","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Kernel","EnablePerCpuClockTickScheduling","True","False",,,"0",
"system.kernel.enable-tick-accumulation-from-accounting-periods","session-manager-kernel","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Kernel","EnableTickAccumulationFromAccountingPeriods","True","False",,,"0",
"system.kernel.force-bugcheck-for-dpc-watchdog","session-manager-kernel","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Kernel","ForceBugcheckForDpcWatchdog","True","False",,,"0",
"system.kernel.force-foreground-boost-decay","session-manager-kernel","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Kernel","ForceForegroundBoostDecay","True","False",,,"0",
"system.kernel.force-idle-grace-period","session-manager-kernel","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Kernel","ForceIdleGracePeriod","True","False",,,"0",
"system.kernel.force-parking-requested","session-manager-kernel","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Kernel","ForceParkingRequested","True","False",,,"0",
"system.kernel.global-timer-resolution-requests","session-manager-kernel","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Kernel","GlobalTimerResolutionRequests","True","False",,,"0",
"system.kernel.hyper-start-disabled","session-manager-kernel","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Kernel","HyperStartDisabled","True","False",,,"0",
"system.kernel.interrupt-steering-flags","session-manager-kernel","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Kernel","InterruptSteeringFlags","True","False",,,"0",
"system.kernel.long-dpc-queue-threshold","session-manager-kernel","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Kernel","LongDpcQueueThreshold","True","False",,,"0",
"system.kernel.long-dpc-runtime-threshold","session-manager-kernel","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Kernel","LongDpcRuntimeThreshold","True","False",,,"0",
"system.kernel.max-dynamic-tick-duration","session-manager-kernel","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Kernel","MaxDynamicTickDuration","True","False",,,"0",
"system.kernel.maximum-cooperative-idle-search-width","session-manager-kernel","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Kernel","MaximumCooperativeIdleSearchWidth","True","False",,,"0",
"system.kernel.rebalance-min-priority","session-manager-kernel","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Kernel","RebalanceMinPriority","True","False",,,"0",
"system.kernel.timer-check-flags","session-manager-kernel","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Kernel","TimerCheckFlags","True","False",,,"0",
"system.kernel.xstate-context-lookaside-per-proc-max-depth","session-manager-kernel","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Kernel","XStateContextLookasidePerProcMaxDepth","True","False",,,"0",
"system.kernel.enable-wer-user-reporting","session-manager-kernel","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Kernel","EnableWerUserReporting","True","False",,,"0",
"power.force-hibernate-disabled.policy","power-force-hibernate-disabled","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power\ForceHibernateDisabled","Policy","False","False",,,"0",
"policy.enable-local-logon-sid","policy-system","policy","False","True","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\SYSTEM","EnableLocalLogonSid","True","False",,,"0",
"power.customize-during-setup","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","CustomizeDuringSetup","True","True","DWord","1","1",
"power.source-settings-version","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","SourceSettingsVersion","True","True","DWord","4","1",
"system.executive-additional-critical-worker-threads","session-manager-executive","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Executive","AdditionalCriticalWorkerThreads","True","True","DWord","0","1",
"system.executive-additional-delayed-worker-threads","session-manager-executive","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Executive","AdditionalDelayedWorkerThreads","True","True","DWord","0","1",
"system.executive-force-enable-mutant-autoboost","session-manager-executive","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Executive","ForceEnableMutantAutoboost","True","False",,,"0",
"system.executive-kernel-worker-test-flags","session-manager-executive","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Executive","KernelWorkerTestFlags","True","False",,,"0",
"system.executive-maximum-kernel-worker-threads","session-manager-executive","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Executive","MaximumKernelWorkerThreads","True","False",,,"0",
"system.executive-tickcount-rollover-delay","session-manager-executive","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Executive","TickcountRolloverDelay","True","False",,,"0",
"system.executive-uuid-sequence-number","session-manager-executive","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Executive","UuidSequenceNumber","True","True","DWord","25272111","8",
"system.io-allow-remote-dasd","session-manager-io","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\I/O System","AllowRemoteDASD","True","True","DWord","0","1",
"system.io-disable-disk-counters","session-manager-io","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\I/O System","DisableDiskCounters","True","False",,,"0",
"system.io-allow-load-crash-dump-driver","session-manager-io","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\I/O System","IoAllowLoadCrashDumpDriver","True","False",,,"0",
"system.io-enable-session-zero-access-check","session-manager-io","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\I/O System","IoEnableSessionZeroAccessCheck","True","False",,,"0",
"power.session-idle-scan-interval","session-manager-power","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Power","IdleScanInterval","True","False",,,"0",
"power.session-power-setting-profile","session-manager-power","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Power","PowerSettingProfile","True","True","DWord","0","1",
"power.session-skip-tick-override","session-manager-power","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Power","SkipTickOverride","True","False",,,"0",
"power.session-watchdog-resume-timeout","session-manager-power","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Power","WatchdogResumeTimeout","True","True","DWord","120","3",
"power.session-watchdog-sleep-timeout","session-manager-power","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Power","WatchdogSleepTimeout","True","True","DWord","300","3",
"power.session-win32-callout-watchdog-bugcheck-enabled","session-manager-power","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Power","Win32CalloutWatchdogBugcheckEnabled","True","False",,,"0",
